date,low,high,average,open,close,daily_avg
2025-09-02,1.81,1.883,1.843,1.814,1.872,1.8465
2025-09-03,1.848,1.907,1.8825,1.872,1.893,1.8775
2025-09-04,1.796,1.902,1.8485,1.893,1.804,1.849
2025-09-05,1.803,1.878,1.8185,1.804,1.833,1.8405
2025-09-06,1.799,1.851,1.8335,1.833,1.834,1.825
2025-09-07,1.833,2.023,1.8599999999999999,1.834,1.886,1.928
2025-09-08,1.875,2.091,1.9295,1.886,1.973,1.983
2025-09-09,1.947,2.099,1.9780000000000002,1.973,1.983,2.023
2025-09-10,1.967,2.047,1.9995,1.983,2.016,2.007
2025-09-11,1.984,2.042,2.024,2.016,2.032,2.013
2025-09-12,1.968,2.052,2.0309999999999997,2.032,2.03,2.01
2025-09-13,2.013,2.096,2.056,2.03,2.082,2.0545
2025-09-14,1.952,2.09,2.035,2.082,1.988,2.021
2025-09-15,1.857,2.018,1.9375,1.988,1.887,1.9375
2025-09-16,1.846,1.943,1.9075,1.887,1.928,1.8945
2025-09-17,1.886,2.021,1.964,1.928,2.0,1.9535
2025-09-18,1.979,2.109,2.0375,2.0,2.075,2.044
2025-09-19,1.959,2.101,2.0250000000000004,2.075,1.975,2.0300000000000002
2025-09-20,1.94,2.057,2.0065,1.975,2.038,1.9985
2025-09-21,1.987,2.048,2.0149999999999997,2.038,1.992,2.0175
2025-09-22,1.786,2.0,1.956,1.992,1.92,1.893
2025-09-23,1.852,2.092,1.994,1.92,2.068,1.972
2025-09-24,2.055,2.254,2.114,2.068,2.16,2.1545
2025-09-25,1.975,2.172,2.1555,2.16,2.151,2.0735
2025-09-26,2.103,2.454,2.2554999999999996,2.151,2.36,2.2785
2025-09-27,2.282,2.424,2.3235,2.36,2.287,2.3529999999999998
2025-09-28,2.257,2.434,2.29,2.287,2.293,2.3455000000000004
2025-09-29,2.228,2.341,2.276,2.293,2.259,2.2845000000000004
2025-09-30,1.976,2.267,2.1295,2.259,2.0,2.1215
2025-10-01,1.955,2.242,2.0875,2.0,2.175,2.0985
2025-10-02,2.172,2.404,2.231,2.175,2.287,2.2880000000000003
2025-10-03,2.235,2.511,2.3529999999999998,2.287,2.419,2.373
2025-10-04,2.273,2.423,2.3655,2.419,2.312,2.348
2025-10-05,2.247,2.357,2.2935,2.312,2.275,2.302
2025-10-06,2.235,2.497,2.3485,2.275,2.422,2.3659999999999997
2025-10-07,2.358,2.571,2.422,2.422,2.422,2.4645
2025-10-08,2.337,2.505,2.4275,2.422,2.433,2.4210000000000003
2025-10-09,2.254,2.441,2.3545,2.433,2.276,2.3475
2025-10-10,1.389,2.317,2.096,2.276,1.916,1.8530000000000002
2025-10-11,1.695,1.943,1.8235000000000001,1.916,1.731,1.819
2025-10-12,1.698,2.012,1.8445,1.731,1.958,1.855
2025-10-13,1.902,2.059,1.9975,1.958,2.037,1.9805000000000001
2025-10-14,1.827,2.043,1.979,2.037,1.921,1.935
2025-10-15,1.801,1.973,1.884,1.921,1.847,1.887
2025-10-16,1.693,1.865,1.784,1.847,1.721,1.779
2025-10-17,1.591,1.771,1.7120000000000002,1.721,1.703,1.681
2025-10-18,1.681,1.747,1.7040000000000002,1.703,1.705,1.714
2025-10-19,1.669,1.767,1.7040000000000002,1.705,1.703,1.718
2025-10-20,1.643,1.788,1.7165,1.703,1.73,1.7155
2025-10-21,1.66,1.823,1.696,1.73,1.662,1.7414999999999998
2025-10-22,1.603,1.742,1.6589999999999998,1.662,1.656,1.6724999999999999
2025-10-23,1.647,1.749,1.6835,1.656,1.711,1.698
2025-10-24,1.668,1.746,1.7005,1.711,1.69,1.7069999999999999
2025-10-25,1.665,1.735,1.7065000000000001,1.69,1.723,1.7000000000000002
2025-10-26,1.693,1.783,1.741,1.723,1.759,1.738
2025-10-27,1.682,1.805,1.7254999999999998,1.759,1.692,1.7435
2025-10-28,1.633,1.747,1.6755,1.692,1.659,1.69
2025-10-29,1.633,1.706,1.6480000000000001,1.659,1.637,1.6695
2025-10-30,1.496,1.656,1.588,1.637,1.539,1.576
2025-10-31,1.505,1.572,1.5425,1.539,1.546,1.5385
2025-11-01,1.535,1.646,1.5875,1.546,1.629,1.5905
2025-11-02,1.586,1.708,1.6385,1.629,1.648,1.647
2025-11-03,1.396,1.698,1.5419999999999998,1.648,1.436,1.547
2025-11-04,1.29,1.463,1.4215,1.436,1.407,1.3765
2025-11-05,1.353,1.503,1.4395,1.407,1.472,1.428
2025-11-06,1.421,1.59,1.516,1.472,1.56,1.5055
2025-11-07,1.527,1.878,1.6215000000000002,1.56,1.683,1.7025
2025-11-08,1.596,1.727,1.6625,1.683,1.642,1.6615000000000002
2025-11-09,1.569,1.723,1.6715,1.642,1.701,1.646
2025-11-10,1.578,1.764,1.6595,1.701,1.618,1.671
2025-11-11,1.501,1.634,1.5630000000000002,1.618,1.508,1.5675
2025-11-12,1.468,1.655,1.521,1.508,1.534,1.5615
2025-11-13,1.511,1.579,1.5375,1.534,1.541,1.545
2025-11-14,1.429,1.542,1.4975,1.541,1.454,1.4855
2025-11-15,1.447,1.509,1.464,1.454,1.474,1.478
2025-11-16,1.399,1.498,1.4529999999999998,1.474,1.432,1.4485000000000001
2025-11-17,1.375,1.454,1.4085,1.432,1.385,1.4144999999999999
2025-11-18,1.38,1.458,1.4085,1.385,1.432,1.419
2025-11-19,1.35,1.437,1.4169999999999998,1.432,1.402,1.3935
2025-11-20,1.32,1.417,1.3715,1.402,1.341,1.3685
2025-11-21,1.203,1.374,1.2915,1.341,1.242,1.2885
2025-11-22,1.199,1.279,1.254,1.242,1.266,1.2389999999999999
2025-11-23,1.249,1.289,1.2585,1.266,1.251,1.2690000000000001
2025-11-24,1.236,1.315,1.2785,1.251,1.306,1.2755
2025-11-25,1.257,1.358,1.3255,1.306,1.345,1.3075
2025-11-26,1.29,1.349,1.331,1.345,1.317,1.3195000000000001
2025-11-27,1.31,1.365,1.3335,1.317,1.35,1.3375
2025-11-28,1.347,1.374,1.354,1.35,1.358,1.3605
2025-11-29,1.3,1.358,1.339,1.358,1.32,1.3290000000000002
2025-11-30,1.314,1.391,1.3365,1.32,1.353,1.3525
2025-12-01,1.184,1.374,1.2995,1.353,1.246,1.279
2025-12-02,1.245,1.489,1.3375,1.246,1.429,1.367
2025-12-03,1.395,1.448,1.42,1.429,1.411,1.4215
2025-12-04,1.387,1.483,1.4045,1.411,1.398,1.435
2025-12-05,1.349,1.411,1.3855,1.398,1.373,1.38
2025-12-06,1.366,1.427,1.387,1.373,1.401,1.3965
2025-12-07,1.352,1.431,1.3825,1.401,1.364,1.3915000000000002
2025-12-08,1.362,1.415,1.3715000000000002,1.364,1.379,1.3885
